Method,Mean Train,Std Train,Mean Test,Std Test
Naive Regression,85.92591684902489,4.794078614354026,81.567426275799,9.579554409536152
Linear Regression (Attribute 1),70.68075936330644,4.511872286197782,74.69944689025768,9.43689139830226
Linear Regression (Attribute 2),73.05712964096304,4.792134374622695,74.76070821432376,9.68961160038972
Linear Regression (Attribute 3),63.57412826009031,4.435586377813104,67.2242966659521,8.949425959900038
Linear Regression (Attribute 4),80.23138829091971,4.569854193840369,85.68645816191868,9.165548882618085
Linear Regression (Attribute 5),70.51304443140667,4.006075247441958,66.24249368817165,8.016016258228186
Linear Regression (Attribute 6),43.06537224843431,3.7587751081616125,45.12113357128615,7.540892267663946
Linear Regression (Attribute 7),70.16896529385615,4.9739976431871895,77.48386700533027,10.16458889303893
Linear Regression (Attribute 8),79.28617592713438,6.349773603057715,79.36868775418188,12.836556653778134
Linear Regression (Attribute 9),71.26703204635903,4.893256960644361,74.3283292801712,9.819623092550533
Linear Regression (Attribute 10),65.12432608367055,5.49066173252791,67.86826564119228,11.239112104845201
Linear Regression (Attribute 11),62.40851644491645,4.426874349514432,63.72114263938927,9.236271602557796
Linear Regression (Attribute 12),37.669512367385266,2.552280199845098,40.39376579733139,5.334023794229257
Linear Regression (All Attributes),21.687288199693967,1.6087201150025925,25.149111927300513,3.4078761576696786
Kernel Ridge Regression,8.342740188517798,1.5806299868901983,15.146789581667964,12.442024345166013
